iShares Russell 1000 ETF
Fund Holdings as of,"Apr 02, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"119,650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","79,298,587.34","0.18","79,298,587.34","180,754.00","438.71","United States","NASDAQ","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","79,172,456.45","0.18","79,172,456.45","913,915.00","86.63","United States","NYSE","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","79,101,191.52","0.18","79,101,191.52","1,202,877.00","65.76","United States","NYSE","USD","1.00","USD","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","78,212,507.62","0.18","78,212,507.62","256,342.00","305.11","United States","NASDAQ","USD","1.00","USD","-"
"MCK","MCKESSON CORP","Health Care","Equity","77,838,747.00","0.18","77,838,747.00","88,025.00","884.28","United States","NYSE","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","76,454,884.75","0.18","76,454,884.75","784,555.00","97.45","United States","NYSE","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","75,881,676.00","0.18","75,881,676.00","743,938.00","102.00","United States","NYSE","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","73,456,804.30","0.17","73,456,804.30","555,565.00","132.22","United States","NYSE","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","73,255,729.40","0.17","73,255,729.40","810,620.00","90.37","United States","NASDAQ","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","72,000,970.44","0.17","72,000,970.44","2,577,908.00","27.93","United States","NASDAQ","USD","1.00","USD","-"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","71,682,724.49","0.17","71,682,724.49","243,017.00","294.97","United States","NASDAQ","USD","1.00","USD","-"
"SNDK","SANDISK CORP","Information Technology","Equity","71,445,014.47","0.17","71,445,014.47","101,833.00","701.59","United States","NASDAQ","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","70,936,769.64","0.16","70,936,769.64","292,017.00","242.92","United States","NASDAQ","USD","1.00","USD","-"
"VRT","VERTIV HOLDINGS CLASS A","Industrials","Equity","70,793,390.02","0.16","70,793,390.02","270,938.00","261.29","United States","NYSE","USD","1.00","USD","-"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","70,462,241.28","0.16","70,462,241.28","176,544.00","399.12","United States","NASDAQ","USD","1.00","USD","-"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","69,590,739.05","0.16","69,590,739.05","69,565.00","1,000.37","United States","NASDAQ","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","69,270,523.00","0.16","69,270,523.00","343,945.00","201.40","United States","NASDAQ","USD","1.00","USD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","67,978,440.18","0.16","67,978,440.18","159,174.00","427.07","United States","NYSE","USD","1.00","USD","-"
"NOC","NORTHROP GRUMMAN CORP","Industrials","Equity","66,900,480.00","0.16","66,900,480.00","95,232.00","702.50","United States","NYSE","USD","1.00","USD","-"
"HWM","HOWMET AEROSPACE INC","Industrials","Equity","66,425,021.04","0.15","66,425,021.04","285,478.00","232.68","United States","NYSE","USD","1.00","USD","-"
