date,equity
2021-11-04,106175.89094492802
2021-11-05,106111.33765936203
2021-11-08,105950.15556209002
2021-11-09,105844.120679696
2021-11-10,106050.83764767801
2021-11-11,106017.51416698402
2021-11-12,106163.23606693001
2021-11-15,106231.74980331202
2021-11-16,106203.24280837603
2021-11-17,106203.24280837603
2021-11-18,106203.24280837603
2021-11-19,106203.24280837603
2021-11-22,106203.24280837603
2021-11-23,106203.24280837603
2021-11-24,106245.054442772
2021-11-26,106198.32318587802
2021-11-29,106154.23222952802
2021-11-30,105954.497618844
2021-12-01,105340.90621156202
2021-12-02,106604.25908084401
2021-12-03,106191.35114225403
2021-12-06,107406.39476252002
2021-12-07,108912.57277245802
2021-12-08,109474.11106706203
2021-12-09,109077.55030176202
2021-12-10,109025.71377623803
2021-12-13,109025.71377623803
2021-12-14,109025.71377623803
2021-12-15,109025.71377623803
2021-12-16,109025.71377623803
2021-12-17,109025.71377623803
2021-12-20,109025.71377623803
2021-12-21,109025.71377623803
2021-12-22,109025.71377623803
2021-12-23,109025.71377623803
2021-12-27,109025.71377623803
2021-12-28,109025.71377623803
2021-12-29,109025.71377623803
2021-12-30,109025.71377623803
2021-12-31,109025.71377623803
2022-01-03,109025.71377623803
2022-01-04,109025.71377623803
2022-01-05,109025.71377623803
2022-01-06,109035.0354747659
2022-01-07,109676.82624148112
2022-01-10,110575.48158985311
2022-01-11,110473.58615775785
2022-01-12,110195.82134677013
2022-01-13,110413.26223032546
2022-01-14,110197.34770676299
2022-01-18,109654.07257501599
2022-01-19,110262.20710388848
2022-01-20,110608.99609426793
2022-01-21,110588.82633721935
2022-01-24,110587.07102322753
2022-01-25,110622.32993906278
2022-01-26,110594.23401262263
2022-01-27,110644.28771781731
2022-01-28,110641.83463925734
2022-01-31,110642.3361575407
2022-02-01,110627.34512189646
2022-02-02,110627.34512189646
2022-02-03,110627.34512189646
2022-02-04,110627.34512189646
2022-02-07,110627.34512189646
2022-02-08,110627.34512189646
2022-02-09,110005.178983661
2022-02-10,110566.4324556097
2022-02-11,110804.50100421149
2022-02-14,110751.26374817455
2022-02-15,110431.4586219547
2022-02-16,110147.58837099551
2022-02-17,110530.18140577909
2022-02-18,110755.3413098698
2022-02-22,111074.92838466208
2022-02-23,111380.1240652359
2022-02-24,111533.81761394624
2022-02-25,110994.70726446553
2022-02-28,110970.74341257749
2022-03-01,110970.74341257749
2022-03-02,110978.93124368209
2022-03-03,110817.32242815156
2022-03-04,110704.33908096526
2022-03-07,110586.15520723182
2022-03-08,110682.46852278174
2022-03-09,110640.05752012279
2022-03-10,110584.67245752444
2022-03-11,110620.40018392893
2022-03-14,110779.75216718428
2022-03-15,110680.09176222142
2022-03-16,110756.42066443615
2022-03-17,110764.08517211465
2022-03-18,110812.01287589068
2022-03-21,110796.62934767685
2022-03-22,110796.62934767685
2022-03-23,110796.62934767685
2022-03-24,110796.62934767685
2022-03-25,110796.62934767685
2022-03-28,110796.62934767685
2022-03-29,110796.62934767685
2022-03-30,110796.62934767685
2022-03-31,110796.62934767685
2022-04-01,110796.62934767685
2022-04-04,110796.62934767685
2022-04-05,110796.62934767685
2022-04-06,110796.62934767685
2022-04-07,110796.62934767685
2022-04-08,110796.62934767685
2022-04-11,110796.62934767685
2022-04-12,110796.62934767685
2022-04-13,110796.62934767685
2022-04-14,110796.62934767685
2022-04-18,110972.60775228306
2022-04-19,111689.73528721764
2022-04-20,111346.45692482179
2022-04-21,111655.97002366115
2022-04-22,111199.08686751044
2022-04-25,111301.75638217354
2022-04-26,111021.90918005268
2022-04-27,111654.99969480853
2022-04-28,111631.23208920532
2022-04-29,111631.23208920532
2022-05-02,111631.23208920532
2022-05-03,111631.23208920532
2022-05-04,111631.23208920532
2022-05-05,111631.23208920532
2022-05-06,111631.23208920532
2022-05-09,111631.23208920532
2022-05-10,111631.23208920532
2022-05-11,111631.23208920532
2022-05-12,111631.23208920532
2022-05-13,111631.23208920532
2022-05-16,111631.23208920532
2022-05-17,111631.23208920532
2022-05-18,111631.23208920532
2022-05-19,111631.23208920532
2022-05-20,111631.23208920532
2022-05-23,111631.23208920532
2022-05-24,111631.23208920532
2022-05-25,111631.23208920532
2022-05-26,111631.23208920532
2022-05-27,111631.23208920532
2022-05-31,111631.23208920532
2022-06-01,111958.4182562478
2022-06-02,111701.19388973553
2022-06-03,111426.47089616217
2022-06-06,111534.79884537023
2022-06-07,111315.26466811041
2022-06-08,111637.35933431955
2022-06-09,112098.73434987782
2022-06-10,112064.2604191818
2022-06-13,112647.7769418836
2022-06-14,112501.48623913864
2022-06-15,112386.46411110471
2022-06-16,113128.53672935128
2022-06-17,113674.49389365716
2022-06-21,113620.01374448319
2022-06-22,113620.01374448319
2022-06-23,113414.14048915952
2022-06-24,114074.68367864424
2022-06-27,114150.15127772016
2022-06-28,114118.5011130109
2022-06-29,114106.84626420822
2022-06-30,114403.00371311001
2022-07-01,114377.85148094181
2022-07-05,114377.85148094181
2022-07-06,114377.85148094181
2022-07-07,114377.85148094181
2022-07-08,114377.85148094181
2022-07-11,114377.85148094181
2022-07-12,114377.85148094181
2022-07-13,114377.85148094181
2022-07-14,114377.85148094181
2022-07-15,114377.85148094181
2022-07-18,114377.85148094181
2022-07-19,114377.85148094181
2022-07-20,114377.85148094181
2022-07-21,114377.85148094181
2022-07-22,114377.85148094181
2022-07-25,114377.85148094181
2022-07-26,114377.85148094181
2022-07-27,114377.85148094181
