date,equity,cash,mtm_pnl,n_open,drawdown,dd_scale,open_pairs
2021-07-16,91948.98,91948.98,0.0,0,12.062,0.0,
2021-07-19,91948.98,91948.98,0.0,0,12.062,0.0,
2021-07-20,91948.98,91948.98,0.0,0,12.062,0.0,
2021-07-21,91948.98,91948.98,0.0,0,12.062,0.0,
2021-07-22,91948.98,91948.98,0.0,0,12.062,0.0,
2021-07-23,91948.98,91948.98,0.0,0,12.062,0.0,
2021-07-26,91948.98,91948.98,0.0,0,12.062,0.0,
2021-07-27,91948.98,91948.98,0.0,0,12.062,0.0,
2021-07-28,91948.98,91948.98,0.0,0,12.062,0.0,
2021-07-29,91948.98,91948.98,0.0,0,12.062,0.0,
2021-07-30,91948.98,91948.98,0.0,0,12.062,0.0,
2021-08-02,91948.98,91948.98,0.0,0,12.062,0.0,
2021-08-03,91948.98,91948.98,0.0,0,12.062,0.0,
2021-08-04,91948.98,91948.98,0.0,0,12.062,0.0,
2021-08-05,91948.98,91948.98,0.0,0,12.062,0.0,
2021-08-06,91948.98,91948.98,0.0,0,12.062,0.0,
2021-08-09,91948.98,91948.98,0.0,0,12.062,0.0,
2021-08-10,91948.98,91948.98,0.0,0,12.062,0.0,
2021-08-11,91948.98,91948.98,0.0,0,12.062,0.0,
2021-08-12,91948.98,91948.98,0.0,0,12.062,0.0,
2021-08-13,91948.98,91948.98,0.0,0,12.062,0.0,
2021-08-16,91948.98,91948.98,0.0,0,12.062,0.0,
2021-08-17,91948.98,91948.98,0.0,0,12.062,0.0,
2021-08-18,91948.98,91948.98,0.0,0,12.062,0.0,
2021-08-19,91948.98,91948.98,0.0,0,12.062,0.0,
2021-08-20,91948.98,91948.98,0.0,0,12.062,0.0,
2021-08-23,91948.98,91948.98,0.0,0,12.062,0.0,
2021-08-24,91948.98,91948.98,0.0,0,12.062,0.0,
2021-08-25,91948.98,91948.98,0.0,0,12.062,0.0,
2021-08-26,91948.98,91948.98,0.0,0,12.062,0.0,
2021-08-27,91948.98,91948.98,0.0,0,12.062,0.0,
2021-08-30,91948.98,91948.98,0.0,0,12.062,0.0,
2021-08-31,91948.98,91948.98,0.0,0,12.062,0.0,
2021-09-01,91948.98,91948.98,0.0,0,12.062,0.0,
2021-09-02,91948.98,91948.98,0.0,0,12.062,0.0,
2021-09-03,91948.98,91948.98,0.0,0,12.062,0.0,
2021-09-07,91948.98,91948.98,0.0,0,12.062,0.0,
2021-09-08,91948.98,91948.98,0.0,0,12.062,0.0,
2021-09-09,91948.98,91948.98,0.0,0,12.062,0.0,
2021-09-10,91948.98,91948.98,0.0,0,12.062,0.0,
2021-09-13,91948.98,91948.98,0.0,0,12.062,0.0,
2021-09-14,91948.98,91948.98,0.0,0,12.062,0.0,
2021-09-15,91948.98,91948.98,0.0,0,12.062,0.0,
2021-09-16,91948.98,91948.98,0.0,0,12.062,0.0,
2021-09-17,91948.98,91948.98,0.0,0,12.062,0.0,
2021-09-20,91948.98,91948.98,0.0,0,12.062,0.0,
2021-09-21,91948.98,91948.98,0.0,0,12.062,0.0,
2021-09-22,91948.98,91948.98,0.0,0,12.062,0.0,
2021-09-23,91948.98,91948.98,0.0,0,12.062,0.0,
2021-09-24,91948.98,91948.98,0.0,0,12.062,0.0,
2021-09-27,91948.98,91948.98,0.0,0,12.062,0.0,
2021-09-28,91948.98,91948.98,0.0,0,12.062,0.0,
2021-09-29,91948.98,91948.98,0.0,0,12.062,0.0,
2021-09-30,91948.98,91948.98,0.0,0,12.062,0.0,
2021-10-01,91948.98,91948.98,0.0,0,12.062,0.0,
2021-10-04,91948.98,91948.98,0.0,0,12.062,0.0,
2021-10-05,91948.98,91948.98,0.0,0,12.062,0.0,
2021-10-06,91948.98,91948.98,0.0,0,12.062,0.0,
2021-10-07,91948.98,91948.98,0.0,0,12.062,0.0,
2021-10-08,91948.98,91948.98,0.0,0,12.062,0.0,
2021-10-11,91948.98,91948.98,0.0,0,12.062,0.0,
2021-10-12,91948.98,91948.98,0.0,0,12.062,0.0,
2021-10-13,91948.98,91948.98,0.0,0,12.062,0.0,
2021-10-14,91948.98,91948.98,0.0,0,12.062,0.0,
2021-10-15,91948.98,91948.98,0.0,0,12.062,0.0,
2021-10-18,91948.98,91948.98,0.0,0,12.062,0.0,
2021-10-19,91948.98,91948.98,0.0,0,12.062,0.0,
2021-10-20,91948.98,91948.98,0.0,0,12.062,0.0,
2021-10-21,91948.98,91948.98,0.0,0,12.062,0.0,
2021-10-22,91948.98,91948.98,0.0,0,12.062,0.0,
2021-10-25,91948.98,91948.98,0.0,0,12.062,0.0,
2021-10-26,91948.98,91948.98,0.0,0,12.062,0.0,
2021-10-27,91948.98,91948.98,0.0,0,12.062,0.0,
2021-10-28,91948.98,91948.98,0.0,0,12.062,0.0,
2021-10-29,91948.98,91948.98,0.0,0,12.062,0.0,
2021-11-01,91948.98,91948.98,0.0,0,12.062,0.0,
2021-11-02,91948.98,91948.98,0.0,0,12.062,0.0,
2021-11-03,91948.98,91948.98,0.0,0,12.062,0.0,
2021-11-04,91948.98,91948.98,0.0,0,12.062,0.0,
2021-11-05,91948.98,91948.98,0.0,0,12.062,0.0,
2021-11-08,91948.98,91948.98,0.0,0,12.062,0.0,
2021-11-09,91948.98,91948.98,0.0,0,12.062,0.0,
2021-11-10,91948.98,91948.98,0.0,0,12.062,0.0,
2021-11-11,91948.98,91948.98,0.0,0,12.062,0.0,
2021-11-12,91948.98,91948.98,0.0,0,12.062,0.0,
2021-11-15,91948.98,91948.98,0.0,0,12.062,0.0,
2021-11-16,91948.98,91948.98,0.0,0,12.062,0.0,
2021-11-17,91948.98,91948.98,0.0,0,12.062,0.0,
2021-11-18,91948.98,91948.98,0.0,0,12.062,0.0,
2021-11-19,91948.98,91948.98,0.0,0,12.062,0.0,
2021-11-22,91948.98,91948.98,0.0,0,12.062,0.0,
2021-11-23,91948.98,91948.98,0.0,0,12.062,0.0,
2021-11-24,91948.98,91948.98,0.0,0,12.062,0.0,
2021-11-26,91948.98,91948.98,0.0,0,12.062,0.0,
2021-11-29,91948.98,91948.98,0.0,0,12.062,0.0,
2021-11-30,91948.98,91948.98,0.0,0,12.062,0.0,
2021-12-01,91948.98,91948.98,0.0,0,12.062,0.0,
2021-12-02,91948.98,91948.98,0.0,0,12.062,0.0,
2021-12-03,91948.98,91948.98,0.0,0,12.062,0.0,
2021-12-06,91948.98,91948.98,0.0,0,12.062,0.0,
2021-12-07,91948.98,91948.98,0.0,0,12.062,0.0,
2021-12-08,91948.98,91948.98,0.0,0,12.062,0.0,
2021-12-09,91948.98,91948.98,0.0,0,12.062,0.0,
2021-12-10,91948.98,91948.98,0.0,0,12.062,0.0,
2021-12-13,91948.98,91948.98,0.0,0,12.062,0.0,
2021-12-14,91948.98,91948.98,0.0,0,12.062,0.0,
2021-12-15,91948.98,91948.98,0.0,0,12.062,0.0,
2021-12-16,91948.98,91948.98,0.0,0,12.062,0.0,
2021-12-17,91948.98,91948.98,0.0,0,12.062,0.0,
2021-12-20,91948.98,91948.98,0.0,0,12.062,0.0,
2021-12-21,91948.98,91948.98,0.0,0,12.062,0.0,
2021-12-22,91948.98,91948.98,0.0,0,12.062,0.0,
2021-12-23,91948.98,91948.98,0.0,0,12.062,0.0,
2021-12-27,91948.98,91948.98,0.0,0,12.062,0.0,
2021-12-28,91948.98,91948.98,0.0,0,12.062,0.0,
2021-12-29,91948.98,91948.98,0.0,0,12.062,0.0,
2021-12-30,91948.98,91948.98,0.0,0,12.062,0.0,
2021-12-31,91948.98,91948.98,0.0,0,12.062,0.0,
2022-01-03,91948.98,91948.98,0.0,0,12.062,0.0,
2022-01-04,91948.98,91948.98,0.0,0,12.062,0.0,
2022-01-05,91948.98,91948.98,0.0,0,12.062,0.0,
2022-01-06,91948.98,91948.98,0.0,0,12.062,0.0,
2022-01-07,91948.98,91948.98,0.0,0,12.062,0.0,
2022-01-10,91948.98,91948.98,0.0,0,12.062,0.0,
2022-01-11,91948.98,91948.98,0.0,0,12.062,0.0,
2022-01-12,91948.98,91948.98,0.0,0,12.062,0.0,
2022-01-13,91948.98,91948.98,0.0,0,12.062,0.0,
2022-01-14,91948.98,91948.98,0.0,0,12.062,0.0,
2022-01-18,91948.98,91948.98,0.0,0,12.062,0.0,
2022-01-19,91948.98,91948.98,0.0,0,12.062,0.0,
2022-01-20,91948.98,91948.98,0.0,0,12.062,0.0,
2022-01-21,91948.98,91948.98,0.0,0,12.062,0.0,
2022-01-24,91948.98,91948.98,0.0,0,12.062,0.0,
2022-01-25,91948.98,91948.98,0.0,0,12.062,0.0,
2022-01-26,91948.98,91948.98,0.0,0,12.062,0.0,
2022-01-27,91948.98,91948.98,0.0,0,12.062,0.0,
2022-01-28,91948.98,91948.98,0.0,0,12.062,0.0,
2022-01-31,91948.98,91948.98,0.0,0,12.062,0.0,
2022-02-01,91948.98,91948.98,0.0,0,12.062,0.0,
2022-02-02,91948.98,91948.98,0.0,0,12.062,0.0,
2022-02-03,91948.98,91948.98,0.0,0,12.062,0.0,
2022-02-04,91948.98,91948.98,0.0,0,12.062,0.0,
2022-02-07,91948.98,91948.98,0.0,0,12.062,0.0,
2022-02-08,91948.98,91948.98,0.0,0,12.062,0.0,
2022-02-09,91948.98,91948.98,0.0,0,12.062,0.0,
2022-02-10,91948.98,91948.98,0.0,0,12.062,0.0,
2022-02-11,91948.98,91948.98,0.0,0,12.062,0.0,
2022-02-14,91948.98,91948.98,0.0,0,12.062,0.0,
2022-02-15,91948.98,91948.98,0.0,0,12.062,0.0,
2022-02-16,91948.98,91948.98,0.0,0,12.062,0.0,
2022-02-17,91948.98,91948.98,0.0,0,12.062,0.0,
2022-02-18,91948.98,91948.98,0.0,0,12.062,0.0,
2022-02-22,91948.98,91948.98,0.0,0,12.062,0.0,
2022-02-23,91948.98,91948.98,0.0,0,12.062,0.0,
2022-02-24,91948.98,91948.98,0.0,0,12.062,0.0,
2022-02-25,91948.98,91948.98,0.0,0,12.062,0.0,
2022-02-28,91948.98,91948.98,0.0,0,12.062,0.0,
2022-03-01,91948.98,91948.98,0.0,0,12.062,0.0,
2022-03-02,91948.98,91948.98,0.0,0,12.062,0.0,
2022-03-03,91948.98,91948.98,0.0,0,12.062,0.0,
2022-03-04,91948.98,91948.98,0.0,0,12.062,0.0,
2022-03-07,91948.98,91948.98,0.0,0,12.062,0.0,
2022-03-08,91948.98,91948.98,0.0,0,12.062,0.0,
2022-03-09,91948.98,91948.98,0.0,0,12.062,0.0,
2022-03-10,91948.98,91948.98,0.0,0,12.062,0.0,
2022-03-11,91948.98,91948.98,0.0,0,12.062,0.0,
2022-03-14,91948.98,91948.98,0.0,0,12.062,0.0,
2022-03-15,91948.98,91948.98,0.0,0,12.062,0.0,
2022-03-16,91948.98,91948.98,0.0,0,12.062,0.0,
2022-03-17,91948.98,91948.98,0.0,0,12.062,0.0,
2022-03-18,91948.98,91948.98,0.0,0,12.062,0.0,
2022-03-21,91948.98,91948.98,0.0,0,12.062,0.0,
2022-03-22,91948.98,91948.98,0.0,0,12.062,0.0,
2022-03-23,91948.98,91948.98,0.0,0,12.062,0.0,
2022-03-24,91948.98,91948.98,0.0,0,12.062,0.0,
2022-03-25,91948.98,91948.98,0.0,0,12.062,0.0,
2022-03-28,91948.98,91948.98,0.0,0,12.062,0.0,
2022-03-29,91948.98,91948.98,0.0,0,12.062,0.0,
2022-03-30,91948.98,91948.98,0.0,0,12.062,0.0,
2022-03-31,91948.98,91948.98,0.0,0,12.062,0.0,
2022-04-01,91948.98,91948.98,0.0,0,12.062,0.0,
2022-04-04,91948.98,91948.98,0.0,0,12.062,0.0,
2022-04-05,91948.98,91948.98,0.0,0,12.062,0.0,
2022-04-06,91948.98,91948.98,0.0,0,12.062,0.0,
2022-04-07,91948.98,91948.98,0.0,0,12.062,0.0,
2022-04-08,91948.98,91948.98,0.0,0,12.062,0.0,
2022-04-11,91948.98,91948.98,0.0,0,12.062,0.0,
2022-04-12,91948.98,91948.98,0.0,0,12.062,0.0,
2022-04-13,91948.98,91948.98,0.0,0,12.062,0.0,
2022-04-14,91948.98,91948.98,0.0,0,12.062,0.0,
2022-04-18,91948.98,91948.98,0.0,0,12.062,0.0,
2022-04-19,91948.98,91948.98,0.0,0,12.062,0.0,
2022-04-20,91948.98,91948.98,0.0,0,12.062,0.0,
2022-04-21,91948.98,91948.98,0.0,0,12.062,0.0,
2022-04-22,91948.98,91948.98,0.0,0,12.062,0.0,
2022-04-25,91948.98,91948.98,0.0,0,12.062,0.0,
2022-04-26,91948.98,91948.98,0.0,0,12.062,0.0,
2022-04-27,91948.98,91948.98,0.0,0,12.062,0.0,
2022-04-28,91948.98,91948.98,0.0,0,12.062,0.0,
2022-04-29,91948.98,91948.98,0.0,0,12.062,0.0,
2022-05-02,91948.98,91948.98,0.0,0,12.062,0.0,
2022-05-03,91948.98,91948.98,0.0,0,12.062,0.0,
